Node,Is Injection,Is Hvdc,Bus Id,Location Name,Load Area,Island Name,Region,Generation Type
ABY0111 OPU0,T,F,ABY0111,ABY,Canterbury,South Island,South Canterbury,Hydro
ABY0111,F,F,ABY0111,ABY,Canterbury,South Island,South Canterbury,Load
ADD0111,F,F,ADD0111,ADD,Canterbury,South Island,Canterbury,Load
ADD0661,F,F,ADD0661,ADD,Canterbury,South Island,Canterbury,Load
AHA0111 AHA0,T,F,AHA0111,Arahura,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Hydro
AHA0111,F,F,AHA0111,Arahura,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ALB0331,F,F,ALB0331,ALB,Northland,North Island,North Isthmus,Load
ALB1101,F,F,ALB1101,ALB,Northland,North Island,North Isthmus,Load
ANA0111,F,F,ANA0111,Arohena,Waikato Taupo King Country,North Island,Waikato,Load
APS0111,F,F,APS0111,APS,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ARA2201 ARA0,T,F,ARA2201,ARA,Waikato Taupo King Country,North Island,Waikato,Hydro
ARG1101 BRR0,T,F,ARG1101,ARG,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Hydro
ARG1101,F,F,ARG1101,ARG,West Coast Nelson Marlborough,South Island,Nelson/Marlborough,Load
ARI0501,F,F,ARI0501,ARI,Waikato Taupo King Country,North Island,Waikato,Load
ARI1101 ARI0,T,F,ARI1101,ARI,Waikato Taupo King Country,North Island,Waikato,Hydro
ARI1101,F,F,ARI1101,ARI,Waikato Taupo King Country,North Island,Waikato,Load
ASB0331,F,F,ASB0331,ASB,Canterbury,South Island,Canterbury,Load
ASB0661,F,F,ASB0661,ASB,Canterbury,South Island,Canterbury,Load
ASB0661 HBK0,T,F,ASB0661,ASB,Canterbury,South Island,Canterbury,Hydro
ASY0111,F,F,ASY0111,ASY,Canterbury,South Island,Canterbury,Load
