Trading Date,Mean Inflow,Daily Inflow
19/04/1933 0:00,66,156.001
20/04/1933 0:00,66,164.003
21/04/1933 0:00,66,164.003
22/04/1933 0:00,66,141.843
23/04/1933 0:00,66,119.682
24/04/1933 0:00,66,119.682
25/04/1933 0:00,66,114.15
26/04/1933 0:00,66,80.955
27/04/1933 0:00,66,75.422
28/04/1933 0:00,66,75.422
29/04/1933 0:00,66,71.947
30/04/1933 0:00,65,68.472
1/05/1933 0:00,65,68.472
2/05/1933 0:00,65,70.704
3/05/1933 0:00,65,84.095
4/05/1933 0:00,65,86.327
5/05/1933 0:00,65,86.327
6/05/1933 0:00,65,83.209
7/05/1933 0:00,64,80.091
8/05/1933 0:00,64,80.091
9/05/1933 0:00,64,78.203
10/05/1933 0:00,64,66.872
11/05/1933 0:00,64,64.984
12/05/1933 0:00,64,64.984
13/05/1933 0:00,64,92.725
14/05/1933 0:00,65,120.466
15/05/1933 0:00,65,120.466
16/05/1933 0:00,65,126.289
17/05/1933 0:00,65,161.224
18/05/1933 0:00,65,167.047
19/05/1933 0:00,65,167.047
20/05/1933 0:00,65,122.604
21/05/1933 0:00,65,78.161
22/05/1933 0:00,65,78.161
23/05/1933 0:00,65,80.43
24/05/1933 0:00,65,94.041
25/05/1933 0:00,65,96.309
26/05/1933 0:00,65,96.309
27/05/1933 0:00,65,90.109
28/05/1933 0:00,64,83.908
29/05/1933 0:00,64,83.908
30/05/1933 0:00,64,81.006
31/05/1933 0:00,64,63.596
1/06/1933 0:00,63,60.694
2/06/1933 0:00,63,60.694
3/06/1933 0:00,63,60.127
4/06/1933 0:00,63,59.559
5/06/1933 0:00,63,59.559
6/06/1933 0:00,62,57.234
7/06/1933 0:00,62,43.282
8/06/1933 0:00,62,40.957
9/06/1933 0:00,62,40.957
10/06/1933 0:00,61,42.161
11/06/1933 0:00,61,43.365
12/06/1933 0:00,61,43.365
13/06/1933 0:00,61,42.519
14/06/1933 0:00,60,37.441
15/06/1933 0:00,60,36.595
16/06/1933 0:00,60,36.595
17/06/1933 0:00,60,35.011
18/06/1933 0:00,60,33.426
19/06/1933 0:00,59,33.426
20/06/1933 0:00,59,33.134
21/06/1933 0:00,59,31.385
22/06/1933 0:00,59,31.093
23/06/1933 0:00,59,31.093
24/06/1933 0:00,59,37.89
25/06/1933 0:00,59,44.687
26/06/1933 0:00,59,44.687
27/06/1933 0:00,59,43.161
28/06/1933 0:00,58,34.005
29/06/1933 0:00,58,32.479
30/06/1933 0:00,58,32.479
