Trading Date,Mean Stored,Daily Stored
22Apr33,2966,3993.63
23Apr33,2961,3979.489
24Apr33,2956,3965.348
25Apr33,2951,3951.207
26Apr33,2945,3892.35
27Apr33,2940,3833.492
28Apr33,2935,3774.634
29Apr33,2930,3733.689
30Apr33,2924,3710.657
01May33,2919,3687.624
02May33,2913,3664.591
03May33,2907,3658.998
04May33,2902,3653.405
05May33,2896,3647.812
06May33,2891,3636.185
07May33,2886,3618.524
08May33,2881,3600.862
09May33,2876,3583.2
10May33,2872,3560.885
11May33,2868,3538.57
12May33,2864,3516.255
13May33,2861,3518.972
14May33,2858,3546.723
15May33,2856,3574.473
16May33,2854,3602.224
17May33,2853,3681.678
18May33,2852,3761.133
19May33,2851,3840.587
20May33,2850,3828.784
21May33,2850,3725.724
22May33,2849,3622.663
23May33,2848,3519.603
24May33,2848,3538.459
25May33,2847,3557.315
26May33,2846,3576.172
27May33,2845,3576.504
28May33,2844,3558.312
29May33,2843,3540.12
30May33,2841,3521.928
31May33,2839,3499.165
01Jun33,2837,3476.403
02Jun33,2835,3453.64
03Jun33,2833,3429.815
04Jun33,2830,3404.926
05Jun33,2828,3380.038
06Jun33,2825,3355.149
07Jun33,2822,3327.755
08Jun33,2819,3300.36
09Jun33,2816,3272.965
10Jun33,2813,3244.962
11Jun33,2811,3216.351
12Jun33,2808,3187.739
13Jun33,2806,3159.127
14Jun33,2803,3133.516
15Jun33,2801,3107.906
16Jun33,2799,3082.295
17Jun33,2796,3053.572
18Jun33,2794,3021.735
19Jun33,2792,2989.899
20Jun33,2789,2958.062
21Jun33,2787,2929.648
22Jun33,2784,2901.234
23Jun33,2782,2872.82
24Jun33,2779,2848.68
25Jun33,2776,2828.813
26Jun33,2773,2808.947
27Jun33,2769,2789.08
28Jun33,2764,2767.67
29Jun33,2760,2746.259
30Jun33,2754,2724.849
01Jul33,2748,2704.888
02Jul33,2742,2686.377
03Jul33,2735,2667.866
04Jul33,2727,2649.355
05Jul33,2719,2628.398
06Jul33,2711,2607.441
07Jul33,2702,2586.484
08Jul33,2692,2567.887
09Jul33,2683,2551.649
10Jul33,2672,2535.412
11Jul33,2662,2519.174
12Jul33,2651,2534.527
13Jul33,2640,2549.881
14Jul33,2629,2565.234
15Jul33,2618,2589.008
16Jul33,2607,2621.202
17Jul33,2596,2653.396
18Jul33,2585,2685.59
19Jul33,2574,2683.046
20Jul33,2563,2680.502
21Jul33,2553,2677.958
22Jul33,2542,2674.059
23Jul33,2532,2668.806
24Jul33,2521,2663.554
25Jul33,2511,2658.301
26Jul33,2501,2641.84
27Jul33,2490,2625.379
28Jul33,2480,2608.918
29Jul33,2470,2605.376
30Jul33,2460,2614.756
31Jul33,2450,2624.134
01Aug33,2441,2633.513
02Aug33,2431,2665.712
03Aug33,2422,2697.91
04Aug33,2413,2730.109
05Aug33,2405,2747.492
06Aug33,2396,2750.058
07Aug33,2388,2752.626
08Aug33,2380,2755.193
09Aug33,2372,2770.722
10Aug33,2365,2786.251
11Aug33,2358,2801.78
12Aug33,2351,2811.43
13Aug33,2345,2815.202
14Aug33,2338,2818.973
15Aug33,2332,2822.745
16Aug33,2326,2801.7
17Aug33,2320,2780.655
18Aug33,2313,2759.61
19Aug33,2306,2744.566
20Aug33,2299,2735.524
21Aug33,2292,2726.482
22Aug33,2285,2717.44
23Aug33,2277,2715.883
24Aug33,2270,2714.327
25Aug33,2263,2712.77
26Aug33,2255,2705.374
27Aug33,2248,2692.138
28Aug33,2241,2678.903
29Aug33,2234,2665.668
30Aug33,2227,2651.931
31Aug33,2221,2638.194
01Sep33,2215,2624.457
02Sep33,2210,2611.581
03Sep33,2205,2599.568
04Sep33,2200,2587.554
05Sep33,2197,2575.54
06Sep33,2194,2559.245
07Sep33,2191,2542.949
08Sep33,2189,2526.654
09Sep33,2188,2511.128
10Sep33,2186,2496.372
11Sep33,2185,2481.617
12Sep33,2185,2466.861
13Sep33,2184,2454.522
14Sep33,2184,2442.183
15Sep33,2185,2429.844
16Sep33,2186,2438.03
17Sep33,2187,2466.742
18Sep33,2188,2495.453
19Sep33,2190,2524.165
20Sep33,2193,2552.805
21Sep33,2195,2581.445
22Sep33,2198,2610.085
23Sep33,2202,2624.351
24Sep33,2206,2624.241
25Sep33,2210,2624.132
26Sep33,2215,2624.023
27Sep33,2221,2601.503
28Sep33,2227,2578.981
29Sep33,2233,2556.461
30Sep33,2240,2537.317
01Oct33,2248,2521.55
02Oct33,2256,2505.784
03Oct33,2264,2490.017
04Oct33,2272,2510.26
05Oct33,2281,2530.502
06Oct33,2289,2550.745
07Oct33,2298,2581.336
08Oct33,2307,2622.276
09Oct33,2317,2663.217
10Oct33,2326,2704.157
11Oct33,2335,2682.646
12Oct33,2344,2661.134
13Oct33,2353,2639.623
14Oct33,2362,2623.795
15Oct33,2370,2613.651
16Oct33,2379,2603.507
17Oct33,2387,2593.363
18Oct33,2396,2581.798
19Oct33,2404,2570.232
20Oct33,2413,2558.667
21Oct33,2421,2549.247
22Oct33,2429,2541.974
23Oct33,2437,2534.701
24Oct33,2444,2527.427
25Oct33,2452,2517.635
26Oct33,2459,2507.843
27Oct33,2466,2498.05
28Oct33,2473,2497.428
29Oct33,2479,2505.975
30Oct33,2486,2514.523
31Oct33,2493,2523.07
01Nov33,2499,2501.68
02Nov33,2506,2480.29
03Nov33,2512,2458.9
04Nov33,2519,2450.944
05Nov33,2526,2456.423
06Nov33,2533,2461.902
07Nov33,2540,2467.38
08Nov33,2548,2447.568
09Nov33,2556,2427.755
10Nov33,2564,2407.943
11Nov33,2573,2398.019
12Nov33,2582,2397.984
13Nov33,2591,2397.95
14Nov33,2600,2397.915
15Nov33,2610,2401.727
16Nov33,2620,2405.539
17Nov33,2630,2409.351
18Nov33,2640,2409.693
19Nov33,2650,2406.564
20Nov33,2660,2403.435
21Nov33,2670,2400.306
22Nov33,2679,2382.037
23Nov33,2689,2363.768
24Nov33,2698,2345.499
25Nov33,2707,2334.399
26Nov33,2716,2330.468
27Nov33,2725,2326.537
28Nov33,2735,2322.607
29Nov33,2744,2309.652
30Nov33,2753,2296.697
01Dec33,2763,2283.742
02Dec33,2773,2280.003
03Dec33,2783,2285.48
04Dec33,2794,2290.956
05Dec33,2804,2296.432
06Dec33,2816,2293.648
07Dec33,2827,2290.863
08Dec33,2838,2288.079
09Dec33,2850,2292.032
10Dec33,2863,2302.724
11Dec33,2875,2313.415
12Dec33,2888,2324.107
13Dec33,2901,2321.923
14Dec33,2915,2319.738
15Dec33,2928,2317.554
16Dec33,2942,2337.012
17Dec33,2956,2378.114
18Dec33,2971,2419.216
19Dec33,2986,2460.317
20Dec33,3001,2478.231
21Dec33,3017,2496.146
22Dec33,3034,2514.06
23Dec33,3051,2551.93
24Dec33,3069,2609.756
