Trading Date,Mean Storage,Daily Storage
19/04/1933 0:00,3133,3835.642
20/04/1933 0:00,3130,3901.665
21/04/1933 0:00,3126,3967.688
22/04/1933 0:00,3122,3993.63
23/04/1933 0:00,3118,3979.489
24/04/1933 0:00,3114,3965.348
25/04/1933 0:00,3110,3951.207
26/04/1933 0:00,3105,3892.35
27/04/1933 0:00,3101,3833.492
28/04/1933 0:00,3097,3774.634
29/04/1933 0:00,3092,3733.689
30/04/1933 0:00,3087,3710.657
1/05/1933 0:00,3082,3687.624
2/05/1933 0:00,3077,3664.591
3/05/1933 0:00,3072,3658.998
4/05/1933 0:00,3066,3653.405
5/05/1933 0:00,3061,3647.812
6/05/1933 0:00,3055,3636.185
7/05/1933 0:00,3049,3618.524
8/05/1933 0:00,3044,3600.862
9/05/1933 0:00,3038,3583.2
10/05/1933 0:00,3032,3560.885
11/05/1933 0:00,3027,3538.57
12/05/1933 0:00,3021,3516.255
13/05/1933 0:00,3016,3518.972
14/05/1933 0:00,3010,3546.723
15/05/1933 0:00,3005,3574.473
16/05/1933 0:00,3000,3602.224
17/05/1933 0:00,2996,3681.678
18/05/1933 0:00,2991,3761.133
19/05/1933 0:00,2986,3840.587
20/05/1933 0:00,2982,3828.784
21/05/1933 0:00,2977,3725.724
22/05/1933 0:00,2973,3622.663
23/05/1933 0:00,2968,3519.603
24/05/1933 0:00,2963,3538.459
25/05/1933 0:00,2959,3557.315
26/05/1933 0:00,2954,3576.172
27/05/1933 0:00,2949,3576.504
28/05/1933 0:00,2944,3558.312
29/05/1933 0:00,2939,3540.12
30/05/1933 0:00,2933,3521.928
31/05/1933 0:00,2928,3499.165
1/06/1933 0:00,2923,3476.403
2/06/1933 0:00,2917,3453.64
3/06/1933 0:00,2911,3429.815
4/06/1933 0:00,2905,3404.926
5/06/1933 0:00,2899,3380.038
6/06/1933 0:00,2893,3355.149
7/06/1933 0:00,2887,3327.755
8/06/1933 0:00,2881,3300.36
9/06/1933 0:00,2875,3272.965
10/06/1933 0:00,2868,3244.962
11/06/1933 0:00,2861,3216.351
12/06/1933 0:00,2855,3187.739
13/06/1933 0:00,2848,3159.127
14/06/1933 0:00,2841,3133.516
15/06/1933 0:00,2834,3107.906
16/06/1933 0:00,2827,3082.295
17/06/1933 0:00,2820,3053.572
18/06/1933 0:00,2813,3021.735
19/06/1933 0:00,2806,2989.899
20/06/1933 0:00,2798,2958.062
21/06/1933 0:00,2791,2929.648
22/06/1933 0:00,2784,2901.234
23/06/1933 0:00,2776,2872.82
24/06/1933 0:00,2769,2848.68
25/06/1933 0:00,2761,2828.813
26/06/1933 0:00,2754,2808.947
27/06/1933 0:00,2746,2789.08
28/06/1933 0:00,2738,2767.67
29/06/1933 0:00,2731,2746.259
30/06/1933 0:00,2723,2724.849
1/07/1933 0:00,2715,2704.888
2/07/1933 0:00,2707,2686.377
3/07/1933 0:00,2698,2667.866
4/07/1933 0:00,2690,2649.355
5/07/1933 0:00,2682,2628.398
6/07/1933 0:00,2673,2607.441
7/07/1933 0:00,2664,2586.484
8/07/1933 0:00,2655,2567.887
9/07/1933 0:00,2647,2551.649
10/07/1933 0:00,2637,2535.412
11/07/1933 0:00,2628,2519.174
12/07/1933 0:00,2619,2534.527
13/07/1933 0:00,2610,2549.881
14/07/1933 0:00,2600,2565.234
15/07/1933 0:00,2591,2589.008
16/07/1933 0:00,2582,2621.202
17/07/1933 0:00,2573,2653.396
18/07/1933 0:00,2563,2685.59
19/07/1933 0:00,2554,2683.046
20/07/1933 0:00,2546,2680.502
21/07/1933 0:00,2537,2677.958
22/07/1933 0:00,2528,2674.059
23/07/1933 0:00,2520,2668.806
24/07/1933 0:00,2512,2663.554
25/07/1933 0:00,2504,2658.301
26/07/1933 0:00,2496,2641.84
27/07/1933 0:00,2489,2625.379
28/07/1933 0:00,2481,2608.918
29/07/1933 0:00,2474,2605.376
30/07/1933 0:00,2467,2614.756
31/07/1933 0:00,2461,2624.134
1/08/1933 0:00,2454,2633.513
2/08/1933 0:00,2448,2665.712
3/08/1933 0:00,2443,2697.91
4/08/1933 0:00,2437,2730.109
5/08/1933 0:00,2432,2747.492
6/08/1933 0:00,2426,2750.058
7/08/1933 0:00,2421,2752.626
8/08/1933 0:00,2416,2755.193
9/08/1933 0:00,2411,2770.722
10/08/1933 0:00,2406,2786.251
11/08/1933 0:00,2401,2801.78
12/08/1933 0:00,2396,2811.43
13/08/1933 0:00,2392,2815.202
14/08/1933 0:00,2387,2818.973
15/08/1933 0:00,2382,2822.745
16/08/1933 0:00,2377,2801.7
17/08/1933 0:00,2371,2780.655
18/08/1933 0:00,2366,2759.61
19/08/1933 0:00,2360,2744.566
20/08/1933 0:00,2354,2735.524
21/08/1933 0:00,2348,2726.482
22/08/1933 0:00,2341,2717.44
23/08/1933 0:00,2335,2715.883
24/08/1933 0:00,2329,2714.327
25/08/1933 0:00,2322,2712.77
26/08/1933 0:00,2316,2705.374
27/08/1933 0:00,2310,2692.138
28/08/1933 0:00,2304,2678.903
29/08/1933 0:00,2298,2665.668
30/08/1933 0:00,2292,2651.931
31/08/1933 0:00,2287,2638.194
1/09/1933 0:00,2282,2624.457
2/09/1933 0:00,2277,2611.581
3/09/1933 0:00,2273,2599.568
4/09/1933 0:00,2270,2587.554
5/09/1933 0:00,2267,2575.54
6/09/1933 0:00,2264,2559.245
7/09/1933 0:00,2262,2542.949
8/09/1933 0:00,2261,2526.654
9/09/1933 0:00,2260,2511.128
10/09/1933 0:00,2259,2496.372
11/09/1933 0:00,2259,2481.617
12/09/1933 0:00,2259,2466.861
13/09/1933 0:00,2259,2454.522
14/09/1933 0:00,2260,2442.183
15/09/1933 0:00,2261,2429.844
16/09/1933 0:00,2262,2438.03
17/09/1933 0:00,2263,2466.742
18/09/1933 0:00,2264,2495.453
19/09/1933 0:00,2265,2524.165
20/09/1933 0:00,2266,2552.805
21/09/1933 0:00,2267,2581.445
22/09/1933 0:00,2268,2610.085
23/09/1933 0:00,2269,2624.351
24/09/1933 0:00,2271,2624.241
25/09/1933 0:00,2273,2624.132
26/09/1933 0:00,2275,2624.023
27/09/1933 0:00,2277,2601.503
28/09/1933 0:00,2279,2578.981
29/09/1933 0:00,2282,2556.461
30/09/1933 0:00,2285,2537.317
1/10/1933 0:00,2288,2521.55
2/10/1933 0:00,2292,2505.784
3/10/1933 0:00,2296,2490.017
4/10/1933 0:00,2300,2510.26
5/10/1933 0:00,2305,2530.502
6/10/1933 0:00,2311,2550.745
7/10/1933 0:00,2316,2581.336
8/10/1933 0:00,2322,2622.276
9/10/1933 0:00,2328,2663.217
10/10/1933 0:00,2334,2704.157
11/10/1933 0:00,2340,2682.646
12/10/1933 0:00,2347,2661.134
13/10/1933 0:00,2353,2639.623
14/10/1933 0:00,2359,2623.795
15/10/1933 0:00,2365,2613.651
16/10/1933 0:00,2372,2603.507
17/10/1933 0:00,2378,2593.363
18/10/1933 0:00,2385,2581.798
19/10/1933 0:00,2391,2570.232
20/10/1933 0:00,2397,2558.667
21/10/1933 0:00,2403,2549.247
22/10/1933 0:00,2409,2541.974
23/10/1933 0:00,2415,2534.701
24/10/1933 0:00,2421,2527.427
25/10/1933 0:00,2427,2517.635
26/10/1933 0:00,2433,2507.843
27/10/1933 0:00,2439,2498.05
28/10/1933 0:00,2445,2497.428
29/10/1933 0:00,2451,2505.975
30/10/1933 0:00,2457,2514.523
31/10/1933 0:00,2463,2523.07
1/11/1933 0:00,2469,2501.68
2/11/1933 0:00,2475,2480.29
3/11/1933 0:00,2481,2458.9
4/11/1933 0:00,2487,2450.944
5/11/1933 0:00,2493,2456.423
6/11/1933 0:00,2499,2461.902
7/11/1933 0:00,2506,2467.38
8/11/1933 0:00,2512,2447.568
9/11/1933 0:00,2519,2427.755
10/11/1933 0:00,2525,2407.943
11/11/1933 0:00,2532,2398.019
12/11/1933 0:00,2539,2397.984
13/11/1933 0:00,2546,2397.95
14/11/1933 0:00,2553,2397.915
15/11/1933 0:00,2560,2401.727
16/11/1933 0:00,2567,2405.539
17/11/1933 0:00,2574,2409.351
18/11/1933 0:00,2581,2409.693
19/11/1933 0:00,2589,2406.564
20/11/1933 0:00,2596,2403.435
21/11/1933 0:00,2603,2400.306
22/11/1933 0:00,2611,2382.037
23/11/1933 0:00,2618,2363.768
24/11/1933 0:00,2625,2345.499
25/11/1933 0:00,2632,2334.399
26/11/1933 0:00,2639,2330.468
27/11/1933 0:00,2646,2326.537
28/11/1933 0:00,2653,2322.607
29/11/1933 0:00,2660,2309.652
30/11/1933 0:00,2668,2296.697
1/12/1933 0:00,2675,2283.742
2/12/1933 0:00,2682,2280.003
3/12/1933 0:00,2690,2285.48
4/12/1933 0:00,2698,2290.956
5/12/1933 0:00,2706,2296.432
6/12/1933 0:00,2714,2293.648
7/12/1933 0:00,2723,2290.863
8/12/1933 0:00,2732,2288.079
9/12/1933 0:00,2741,2292.032
10/12/1933 0:00,2750,2302.724
11/12/1933 0:00,2760,2313.415
12/12/1933 0:00,2770,2324.107
13/12/1933 0:00,2781,2321.923
14/12/1933 0:00,2792,2319.738
15/12/1933 0:00,2803,2317.554
16/12/1933 0:00,2814,2337.012
17/12/1933 0:00,2826,2378.114
18/12/1933 0:00,2837,2419.216
19/12/1933 0:00,2849,2460.317
20/12/1933 0:00,2861,2478.231
21/12/1933 0:00,2874,2496.146
22/12/1933 0:00,2886,2514.06
23/12/1933 0:00,2899,2551.93
24/12/1933 0:00,2912,2609.756
25/12/1933 0:00,2925,2667.582
26/12/1933 0:00,2938,2725.408
27/12/1933 0:00,2950,2744.937
28/12/1933 0:00,2963,2764.466
29/12/1933 0:00,2976,2783.995
30/12/1933 0:00,2989,2795.741
31/12/1933 0:00,3002,2799.705
1/01/1934 0:00,3014,2803.668
2/01/1934 0:00,3025,2807.632
3/01/1934 0:00,3036,2789.651
4/01/1934 0:00,3046,2771.671
5/01/1934 0:00,3057,2753.69
6/01/1934 0:00,3066,2738.266
7/01/1934 0:00,3076,2725.401
8/01/1934 0:00,3085,2712.535
9/01/1934 0:00,3094,2699.67
10/01/1934 0:00,3103,2703.126
11/01/1934 0:00,3111,2706.582
12/01/1934 0:00,3119,2710.038
13/01/1934 0:00,3127,2725.981
14/01/1934 0:00,3135,2754.412
15/01/1934 0:00,3142,2782.842
16/01/1934 0:00,3149,2811.273
17/01/1934 0:00,3156,2797.528
18/01/1934 0:00,3163,2783.783
19/01/1934 0:00,3170,2770.039
20/01/1934 0:00,3176,2771.884
21/01/1934 0:00,3183,2789.32
22/01/1934 0:00,3189,2806.756
23/01/1934 0:00,3196,2824.191
24/01/1934 0:00,3202,2840.16
25/01/1934 0:00,3208,2856.129
26/01/1934 0:00,3214,2872.098
27/01/1934 0:00,3220,2893.314
28/01/1934 0:00,3225,2919.776
29/01/1934 0:00,3230,2946.239
30/01/1934 0:00,3235,2972.701
31/01/1934 0:00,3239,2960.453
1/02/1934 0:00,3243,2948.204
2/02/1934 0:00,3247,2935.955
3/02/1934 0:00,3250,2933.842
4/02/1934 0:00,3253,2941.863
5/02/1934 0:00,3256,2949.885
6/02/1934 0:00,3258,2957.906
7/02/1934 0:00,3259,2971.244
8/02/1934 0:00,3260,2984.583
9/02/1934 0:00,3261,2997.921
10/02/1934 0:00,3261,3012.448
11/02/1934 0:00,3262,3028.164
12/02/1934 0:00,3262,3043.88
13/02/1934 0:00,3262,3059.595
14/02/1934 0:00,3262,3060.487
15/02/1934 0:00,3261,3061.379
16/02/1934 0:00,3261,3062.271
17/02/1934 0:00,3261,3062.389
18/02/1934 0:00,3260,3061.731
19/02/1934 0:00,3260,3061.074
20/02/1934 0:00,3259,3060.416
21/02/1934 0:00,3259,3038.127
22/02/1934 0:00,3258,3015.837
23/02/1934 0:00,3257,2993.548
24/02/1934 0:00,3257,2975.999
25/02/1934 0:00,3256,2963.192
26/02/1934 0:00,3256,2950.384
27/02/1934 0:00,3255,2937.576
28/02/1934 0:00,3255,2922.954
1/03/1934 0:00,3254,2908.33
2/03/1934 0:00,3253,2893.708
3/03/1934 0:00,3252,2890.851
4/03/1934 0:00,3252,2899.761
5/03/1934 0:00,3251,2908.671
6/03/1934 0:00,3250,2917.581
7/03/1934 0:00,3249,2931.547
8/03/1934 0:00,3248,2945.512
9/03/1934 0:00,3246,2959.478
10/03/1934 0:00,3245,2968.878
11/03/1934 0:00,3244,2973.71
12/03/1934 0:00,3242,2978.543
13/03/1934 0:00,3240,2983.375
14/03/1934 0:00,3238,2963.69
15/03/1934 0:00,3236,2944.005
16/03/1934 0:00,3233,2924.32
17/03/1934 0:00,3231,2905.789
18/03/1934 0:00,3228,2888.41
19/03/1934 0:00,3225,2871.03
20/03/1934 0:00,3222,2853.651
21/03/1934 0:00,3219,2831.985
22/03/1934 0:00,3216,2810.319
23/03/1934 0:00,3213,2788.652
24/03/1934 0:00,3210,2797.482
25/03/1934 0:00,3207,2836.81
26/03/1934 0:00,3204,2876.137
27/03/1934 0:00,3201,2915.464
28/03/1934 0:00,3199,2926.508
29/03/1934 0:00,3196,2937.553
30/03/1934 0:00,3194,2948.597
31/03/1934 0:00,3191,2946.716
1/04/1934 0:00,3189,2931.91
2/04/1934 0:00,3187,2917.104
3/04/1934 0:00,3185,2902.298
4/04/1934 0:00,3182,2873.38
5/04/1934 0:00,3180,2844.463
6/04/1934 0:00,3178,2815.546
7/04/1934 0:00,3175,2814.339
8/04/1934 0:00,3172,2840.843
9/04/1934 0:00,3170,2867.346
10/04/1934 0:00,3166,2893.85
11/04/1934 0:00,3163,2916.709
12/04/1934 0:00,3160,2939.567
13/04/1934 0:00,3156,2962.426
14/04/1934 0:00,3152,2979.299
15/04/1934 0:00,3149,2990.187
16/04/1934 0:00,3145,3001.075
17/04/1934 0:00,3141,3011.963
18/04/1934 0:00,3137,3059.532
19/04/1934 0:00,3133,3107.101
20/04/1934 0:00,3130,3154.67
21/04/1934 0:00,3126,3204.258
22/04/1934 0:00,3122,3255.864
23/04/1934 0:00,3118,3307.47
24/04/1934 0:00,3114,3359.075
25/04/1934 0:00,3110,3398.348
26/04/1934 0:00,3105,3437.62
27/04/1934 0:00,3101,3476.892
